iter	Passed	Remaining
0	1	135
1	2	120
2	3	114
3	4	104
4	5	101
5	6	107
6	8	119
7	10	124
8	12	122
9	13	121
10	15	123
11	16	120
12	17	117
13	18	114
14	19	111
15	20	109
16	23	113
17	25	114
18	26	112
19	27	111
20	29	111
21	30	109
22	32	108
23	33	106
24	34	104
25	36	103
26	38	102
27	39	102
28	40	100
29	42	99
30	60	134
31	61	130
32	62	127
33	63	123
34	65	120
35	66	118
36	68	115
37	70	114
38	72	112
39	74	111
40	75	109
41	76	105
42	77	102
43	78	100
44	79	97
45	81	95
46	82	92
47	84	91
48	86	89
49	87	87
50	89	85
51	90	83
52	92	82
53	93	79
54	94	77
55	95	75
56	96	73
57	105	76
58	106	74
59	108	72
60	110	70
61	112	68
62	115	67
63	117	66
64	119	64
65	121	62
66	122	60
67	123	58
68	124	56
69	125	53
70	127	52
71	129	50
72	131	48
73	132	46
74	134	44
75	135	42
76	136	40
77	137	38
78	139	37
79	140	35
80	141	33
81	143	31
82	145	29
83	147	28
84	148	26
85	149	24
86	151	22
87	153	20
88	154	19
89	156	17
90	162	16
91	163	14
92	166	12
93	168	10
94	169	8
95	170	7
96	171	5
97	174	3
98	176	1
99	177	0
