iter	Passed	Remaining
0	154	154335
1	155	77480
2	156	52004
3	157	39140
4	157	31407
5	158	26270
6	159	22579
7	159	19809
8	160	17656
9	160	15936
10	161	14530
11	162	13355
12	162	12361
13	163	11504
14	163	10763
15	164	10120
16	165	9552
17	165	9048
18	166	8597
19	167	8198
20	167	7831
21	168	7497
22	169	7208
23	170	6932
24	171	6672
25	171	6432
26	172	6215
27	173	6009
28	173	5819
29	174	5639
30	174	5468
31	175	5313
32	176	5168
33	177	5029
34	177	4896
35	178	4772
36	178	4653
37	179	4541
38	180	4435
39	180	4336
40	181	4241
41	181	4150
42	182	4062
43	183	3983
44	184	3905
45	184	3831
46	185	3759
47	186	3690
48	186	3629
49	187	3567
50	188	3504
51	189	3446
52	189	3390
53	190	3335
54	191	3281
55	191	3229
56	192	3179
57	193	3134
58	193	3089
59	194	3044
60	194	3001
61	195	2958
62	196	2917
63	196	2878
64	197	2839
65	198	2806
66	199	2771
67	199	2737
68	200	2703
69	201	2671
70	201	2640
71	202	2609
72	203	2577
73	203	2548
74	204	2518
75	204	2489
76	205	2461
77	206	2435
78	206	2409
79	207	2384
80	207	2359
81	208	2334
82	208	2307
83	209	2284
84	210	2261
85	210	2239
86	211	2218
87	211	2197
88	212	2180
89	213	2160
90	214	2140
91	214	2121
92	215	2102
93	216	2084
94	216	2066
95	217	2048
96	218	2029
97	218	2012
98	219	1995
99	219	1978
100	220	1961
101	221	1946
102	221	1930
103	222	1917
104	223	1904
105	224	1890
106	225	1879
107	225	1866
108	226	1854
109	227	1843
110	228	1830
111	229	1816
112	229	1803
113	230	1790
114	230	1777
115	231	1764
116	232	1751
117	232	1738
118	233	1725
119	233	1712
120	234	1701
121	234	1688
122	235	1676
123	235	1666
124	236	1655
125	236	1643
126	237	1632
127	237	1621
128	238	1610
129	239	1600
130	239	1589
131	240	1580
132	240	1570
133	241	1560
134	242	1551
135	243	1543
136	243	1535
137	244	1527
138	245	1520
139	246	1514
140	247	1506
141	247	1495
142	248	1487
143	248	1479
144	249	1470
145	250	1463
146	250	1455
147	251	1447
148	251	1438
149	252	1430
150	253	1423
151	253	1414
152	254	1406
153	254	1398
154	255	1391
155	255	1384
156	256	1377
157	256	1369
158	257	1362
159	258	1355
160	258	1347
161	259	1341
162	259	1334
163	260	1329
164	261	1322
165	262	1316
166	262	1310
167	263	1303
168	263	1297
169	264	1291
170	265	1284
171	265	1278
172	266	1272
173	266	1266
174	267	1260
175	267	1254
176	268	1248
177	268	1242
178	269	1236
179	270	1230
180	270	1224
181	271	1219
182	271	1213
183	272	1208
184	273	1203
185	273	1198
186	274	1193
187	275	1188
188	275	1184
189	276	1178
190	277	1173
191	277	1168
192	278	1163
193	278	1158
194	279	1153
195	279	1148
196	280	1143
197	281	1138
198	281	1133
199	282	1128
200	282	1123
201	283	1119
202	283	1114
203	284	1109
204	285	1105
205	285	1100
206	286	1096
207	286	1091
208	287	1087
209	288	1083
210	288	1079
211	289	1074
212	289	1071
213	290	1067
214	291	1064
215	292	1061
216	293	1057
217	293	1053
218	294	1049
219	294	1044
220	295	1040
221	295	1036
222	296	1032
223	297	1029
224	297	1025
225	298	1021
226	298	1017
227	299	1013
228	299	1009
229	300	1005
230	301	1002
231	301	998
232	302	994
233	303	991
234	303	989
235	304	985
236	305	982
237	305	978
238	306	975
239	306	971
240	307	968
241	308	964
242	308	961
243	309	958
244	309	954
245	310	951
246	310	947
247	311	943
248	311	940
249	312	937
250	312	933
251	313	930
252	314	927
253	314	924
254	315	921
255	315	917
256	316	914
257	317	911
258	318	910
259	318	907
260	319	904
261	320	902
262	320	899
263	321	896
264	322	893
265	323	891
266	323	888
267	324	885
268	325	883
269	325	880
270	326	877
271	326	875
272	327	872
273	328	869
274	328	866
275	329	863
276	330	861
277	330	859
278	331	856
279	332	854
280	333	852
281	333	850
282	334	847
283	335	845
284	335	842
285	336	840
286	337	837
287	337	835
288	338	832
289	339	830
290	339	827
291	340	824
292	340	822
293	341	820
294	342	817
295	342	815
296	343	812
297	343	810
298	344	807
299	344	804
300	345	802
301	346	800
302	346	798
303	347	796
304	348	794
305	349	791
306	349	789
307	350	787
308	351	785
309	351	783
310	352	781
311	353	778
312	353	776
313	354	774
314	354	771
315	355	769
316	356	767
317	356	765
318	357	762
319	357	760
320	358	758
321	359	756
322	359	753
323	360	752
324	361	750
325	361	747
326	362	745
327	363	743
328	363	742
329	364	739
330	365	738
331	365	736
332	366	734
333	367	732
334	367	730
335	368	727
336	368	725
337	369	724
338	370	722
339	371	720
340	371	718
341	372	716
342	372	714
343	373	712
344	374	711
345	375	709
346	376	707
347	377	706
348	378	705
349	379	704
350	380	703
351	381	702
352	382	701
353	383	699
354	384	698
355	385	696
356	385	694
357	386	692
358	386	690
359	387	688
360	388	687
361	388	685
362	389	683
363	390	681
364	390	679
365	391	678
366	392	677
367	393	675
368	393	673
369	394	671
370	395	670
371	395	668
372	396	666
373	397	664
374	397	662
375	398	660
376	398	659
377	399	657
378	400	655
379	400	653
380	401	652
381	402	650
382	402	648
383	403	647
384	404	645
385	404	643
386	405	642
387	406	640
388	406	639
389	407	637
390	408	636
391	409	634
392	409	632
393	410	631
394	411	629
395	411	628
396	412	626
397	413	624
398	413	623
399	414	621
400	415	619
401	415	618
402	416	617
403	417	615
404	418	614
405	418	612
406	419	611
407	420	609
408	420	607
409	421	606
410	422	605
411	423	603
412	423	602
413	424	600
414	425	599
415	425	597
416	426	596
417	426	594
418	427	592
419	428	591
420	428	589
421	429	588
422	430	587
423	430	585
424	431	583
425	432	582
426	432	580
427	433	579
428	434	577
429	434	576
430	435	574
431	436	573
432	436	572
433	437	570
434	438	569
435	438	567
436	439	566
437	440	564
438	441	563
439	441	562
440	442	560
441	442	558
442	443	557
443	444	556
444	444	554
445	445	553
446	446	551
447	446	550
448	447	548
449	447	547
450	448	545
451	448	544
452	449	542
453	449	541
454	450	539
455	451	538
456	451	536
457	452	535
458	453	534
459	453	532
460	454	531
461	455	530
462	455	528
463	456	527
464	457	525
465	457	524
466	458	522
467	458	521
468	459	520
469	459	518
470	460	517
471	461	515
472	461	514
473	462	513
474	462	511
475	463	510
476	463	508
477	464	507
478	465	505
479	465	504
480	466	503
481	467	502
482	468	501
483	468	499
484	469	498
485	470	497
486	470	496
487	471	494
488	472	493
489	472	492
490	473	490
491	474	489
492	474	488
493	475	487
494	475	485
495	476	484
496	477	482
497	477	481
498	478	480
499	478	478
500	479	477
501	479	476
502	480	474
503	480	473
504	481	472
505	482	470
506	482	469
507	483	468
508	484	466
509	484	465
510	485	464
511	486	463
512	487	462
513	488	461
514	489	460
515	490	459
516	490	458
517	491	457
518	492	456
519	493	455
520	493	454
521	494	452
522	495	451
523	495	450
524	496	449
525	497	448
526	498	447
527	498	445
528	499	444
529	501	444
530	501	443
531	502	441
532	502	440
533	503	439
534	505	439
535	506	438
536	506	437
537	507	435
538	508	434
539	508	433
540	509	432
541	509	430
542	510	429
543	511	428
544	512	427
545	513	426
546	514	425
547	515	424
548	515	423
549	516	422
550	517	421
551	517	420
552	518	419
553	519	418
554	520	417
555	521	416
556	522	415
557	522	414
558	523	412
559	524	411
560	524	410
561	525	409
562	526	408
563	527	407
564	528	406
565	529	405
566	529	404
567	530	403
568	531	402
569	532	401
570	533	400
571	534	399
572	534	398
573	535	397
574	536	396
575	537	395
576	537	394
577	538	393
578	539	392
579	539	390
580	540	389
581	542	389
582	542	388
583	543	387
584	544	386
585	545	385
586	546	384
587	546	383
588	547	382
589	548	381
590	549	380
591	549	378
592	550	377
593	551	376
594	551	375
595	552	374
596	552	373
597	553	372
598	554	370
599	555	370
600	556	369
601	557	368
602	557	367
603	558	366
604	559	365
605	559	363
606	560	362
607	561	361
608	561	360
609	562	359
610	563	358
611	563	357
612	564	356
613	565	355
614	565	354
615	566	353
616	567	352
617	568	351
618	568	350
619	569	349
620	570	348
621	571	347
622	572	346
623	572	345
624	573	344
625	574	343
626	575	342
627	576	341
628	577	340
629	577	339
630	578	338
631	579	337
632	580	336
